Course ID,Term,Session,Section,Subject,Catalog,Descr,Facil ID,Mtg Start,Mtg End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
056462,1171,1,001,BMCH,2400,HUMAN PHYSIOLOGY & ANATOMY I,HPER112,8:00:00 AM,8:50:00 AM,Y,N,Y,N,Y,N,N
056462,1171,1,003,BMCH,2400,HUMAN PHYSIOLOGY & ANATOMY I,HPER214,3:00:00 PM,4:50:00 PM,N,N,Y,N,N,N,N
056462,1171,1,005,BMCH,2400,HUMAN PHYSIOLOGY & ANATOMY I,HPER213,1:30:00 PM,3:20:00 PM,N,N,N,N,Y,N,N
056593,1171,1,001,BMCH,2500,HUMAN PHYSIOLOGY & ANATOMY II,HPER112,11:30:00 AM,12:45:00 PM,N,Y,N,Y,N,N,N
056399,1171,1,002,EMGT,2050,POLITICAL AND LEGAL FOUNDATION,ALLWINE305,11:30:00 AM,12:45:00 PM,Y,N,Y,N,N,N,N
058705,1171,1,001,EMGT,2500,DISASTERS AND VULNERABLE POP,CPACS221,2:30:00 PM,3:45:00 PM,N,Y,N,Y,N,N,N
058592,1171,1,001,EMGT,4050,CONTEMPORARY ISSUES IN TEM,CPACS223,1:00:00 PM,2:15:00 PM,N,Y,N,Y,N,N,N
009423,1171,1,001,FREN,2110,INTERMEDIATE FRENCH,ARTSCI384,10:00:00 AM,11:15:00 AM,Y,N,Y,N,N,N,N
009424,1171,1,001,FREN,2120,INTERMEDIATE FRENCH,ARTSCI384,8:30:00 AM,9:45:00 AM,Y,N,Y,N,N,N,N
007441,1171,1,001,BIOI,4960,SEMINAR IN BIOINFORMATICS,PKIEWIT278,12:00:00 PM,1:00:00 PM,N,N,N,N,Y,N,N
012318,1171,1,851,SOWK,1000,SOCIAL WORK AND SOCIAL WELFARE,TOTLONLINE,,,N,N,N,N,N,N,N
058077,1171,1,001,GERM,3380,GERMAN HISTORY II,ARTSCI380,11:30:00 AM,12:45:00 PM,Y,N,Y,N,N,N,N
057967,1171,1,001,LATN,1120,ELEMENTARY LATIN II,ARTSCI279,4:00:00 PM,5:25:00 PM,Y,N,Y,N,Y,N,N
010984,1171,1,003,MGMT,4480,CORP AND BUSINESS STRATEGY,MAMMEL322,1:30:00 PM,2:45:00 PM,Y,N,Y,N,N,N,N
007500,1171,1,002,BIOL,4390,VASCULAR PLANT MORPHOLOGY,ALLWINE223,1:00:00 PM,3:50:00 PM,Y,N,N,N,N,N,N
009804,1171,1,850,HED,2310,HEALTHFUL LIVING,TOTLONLINE,,,N,N,N,N,N,N,N
011533,1171,1,001,PE,4310,LOWER EXTREMITY EVALUATION,HPER206,8:00:00 AM,8:50:00 AM,Y,Y,N,Y,N,N,N
011663,1171,1,001,PEA, 112J,MODERN DANCE 2,HPER228,5:00:00 PM,5:50:00 PM,Y,N,Y,N,N,N,N
011664,1171,1,001,PEA, 112K,SOCCER,HPER126,9:00:00 AM,9:50:00 AM,N,Y,N,Y,N,N,N
011560,1171,1,001,PE,4010,LAB METHODS EXERCISE SCIENCE,HPER206,1:00:00 PM,3:40:00 PM,Y,N,N,N,N,N,N
011939,1171,1,001,PSYC,4640,PERSONNEL PSYCHOLOGY,ARTSCI392,10:00:00 AM,11:15:00 AM,Y,N,Y,N,N,N,N
011966,1171,1,860,PSYC,4920,SPECIAL TOPICS IN PSYCHOLOGY,ARTSCI388,8:30:00 AM,9:45:00 AM,N,N,Y,N,N,N,N
057163,1171,1,001,SOC,4350,WORK & FAMILY,HPER213,2:30:00 PM,5:10:00 PM,N,N,Y,N,N,N,N
058289,1171,1,002,SPED,1500,INTRO TO SPECIAL EDUCATION,ROSKNS304,2:30:00 PM,3:45:00 PM,Y,N,Y,N,N,N,N
058604,1171,1,801,TED,2400,PLAN FOR EFFECTIVE TEACHING,OFFCAMPUS,9:00:00 AM,12:00:00 PM,Y,N,Y,N,Y,N,N
