Course ID,Subject,Catalog,Rq Group,Line,Line Type,Min Units,Min Course,Rqs Typ,Rqrmnt,Cond Code,Operator,Value,Acad Group,Subject,Catalog,Ptrn Type,Course ID,Trnsfr Lvl,Test Crdt,Othr Crdt,Min Points,Min Units,Incl Equiv,Term,Assoc,Conn,Parenth,Test ID,Component,Score,Max Age,Select Method,Rpt Descr,Description
7002,ACCT,2010,1542,10,RQ,0,0,PRE,29,,,,,,,SMPL,,ALL,Y,Y,2,0,,,0,,(,,,0,0,,,
7002,ACCT,2010,1542,30,COND,0,0,,,PL,IN,7,,,,SMPL,,ALL,Y,Y,2,0,,,0,OR,),,,0,0,,,
7002,ACCT,2010,1542,40,COND,0,0,,,CGA,GE,2.3,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7003,ACCT,2020,1544,10,CRSE,0,0,PRE,,,,,,,,SMPL,7002,ALL,Y,Y,2,0,Y,,0,,(,,,0,0,,,
7003,ACCT,2020,1544,30,COND,0,0,,,PL,IN,7,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7003,ACCT,2020,1544,40,COND,0,0,,,CGA,GE,2.3,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7005,ACCT,3020,1546,10,CRSE,0,0,PRE,,,,,,,,SMPL,7003,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7005,ACCT,3020,1546,20,CRSE,0,0,PRE,,,,,,,,SMPL,8879,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7005,ACCT,3020,1546,30,CRSE,0,0,PRE,,,,,,,,SMPL,8878,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7005,ACCT,3020,1546,40,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7006,ACCT,3030,1548,10,CRSE,0,0,PRE,,,,,,,,SMPL,7003,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7006,ACCT,3030,1548,20,CRSE,0,0,PRE,,,,,,,,SMPL,8879,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7006,ACCT,3030,1548,30,CRSE,0,0,PRE,,,,,,,,SMPL,8878,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7006,ACCT,3030,1548,40,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7007,ACCT,3040,1550,10,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7007,ACCT,3040,1550,20,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7008,ACCT,3050,1552,10,CRSE,0,0,PRE,,,,,,,,SMPL,7003,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7008,ACCT,3050,1552,20,CRSE,0,0,PRE,,,,,,,,SMPL,8879,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7008,ACCT,3050,1552,30,CRSE,0,0,PRE,,,,,,,,SMPL,8878,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7008,ACCT,3050,1552,40,CRSE,0,0,PRE,,,,,,,,SMPL,8855,ALL,Y,Y,2,0,Y,,0,AND,(,,,0,0,,,
7008,ACCT,3050,1552,50,CRSE,0,0,PRE,,,,,,,,SMPL,7690,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7008,ACCT,3050,1552,60,CRSE,0,0,PRE,,,,,,,,SMPL,7691,ALL,Y,Y,2,0,Y,,0,OR,),,,0,0,,,
7008,ACCT,3050,1552,70,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7010,ACCT,3080,1554,10,CRSE,0,0,PRE,,,,,,,,SMPL,7003,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7010,ACCT,3080,1554,20,CRSE,0,0,PRE,,,,,,,,SMPL,8879,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7010,ACCT,3080,1554,30,CRSE,0,0,PRE,,,,,,,,SMPL,8878,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7010,ACCT,3080,1554,40,CRSE,0,0,PRE,,,,,,,,SMPL,8857,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7010,ACCT,3080,1554,50,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7012,ACCT,4010,1556,10,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2.33,0,Y,,0,,,,,0,0,,,
7012,ACCT,4010,1556,20,CRSE,0,0,PRE,,,,,,,,SMPL,7007,ALL,Y,Y,2.33,0,Y,,0,AND,,,,0,0,,,
7012,ACCT,4010,1556,30,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7014,ACCT,4040,1558,10,CRSE,0,0,PRE,,,,,,,,SMPL,7005,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7014,ACCT,4040,1558,20,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
